"id","title","url"
"CC-BY-ND-3.0","Creative Commons Attribution No Derivatives 3.0 Unported","https://creativecommons.org/licenses/by-nd/3.0/legalcode"
"CC-BY-ND-3.0-DE","Creative Commons Attribution No Derivatives 3.0 Germany","https://creativecommons.org/licenses/by-nd/3.0/de/legalcode"
"CC-BY-ND-4.0","Creative Commons Attribution No Derivatives 4.0 International","https://creativecommons.org/licenses/by-nd/4.0/legalcode"
"CC-BY-SA-1.0","Creative Commons Attribution Share Alike 1.0 Generic","https://creativecommons.org/licenses/by-sa/1.0/legalcode"
"CC-BY-SA-2.0","Creative Commons Attribution Share Alike 2.0 Generic","https://creativecommons.org/licenses/by-sa/2.0/legalcode"
"CC-BY-SA-2.0-UK","Creative Commons Attribution Share Alike 2.0 England and Wales","https://creativecommons.org/licenses/by-sa/2.0/uk/legalcode"
"CC-BY-SA-2.1-JP","Creative Commons Attribution Share Alike 2.1 Japan","https://creativecommons.org/licenses/by-sa/2.1/jp/legalcode"
"CC-BY-SA-2.5","Creative Commons Attribution Share Alike 2.5 Generic","https://creativecommons.org/licenses/by-sa/2.5/legalcode"
"CC-BY-SA-3.0","Creative Commons Attribution Share Alike 3.0 Unported","https://creativecommons.org/licenses/by-sa/3.0/legalcode"
"CC-BY-SA-3.0-AT","Creative Commons Attribution Share Alike 3.0 Austria","https://creativecommons.org/licenses/by-sa/3.0/at/legalcode"
"CC-BY-SA-3.0-DE","Creative Commons Attribution Share Alike 3.0 Germany","https://creativecommons.org/licenses/by-sa/3.0/de/legalcode"
"CC-BY-SA-4.0","Creative Commons Attribution Share Alike 4.0 International","https://creativecommons.org/licenses/by-sa/4.0/legalcode"
"CC-PDDC","Creative Commons Public Domain Dedication and Certification","https://creativecommons.org/licenses/publicdomain/"
"CC0-1.0","Creative Commons Zero v1.0 Universal","https://creativecommons.org/publicdomain/zero/1.0/legalcode"
"CDDL-1.0","Common Development and Distribution License 1.0","https://opensource.org/licenses/cddl1"
"CDDL-1.1","Common Development and Distribution License 1.1","https://javaee.github.io/glassfish/LICENSE"
"CDL-1.0","Common Documentation License 1.0","https://www.gnu.org/licenses/license-list.html#ACDL"
"CDLA-Permissive-1.0","Community Data License Agreement Permissive 1.0","https://cdla.io/permissive-1-0"
"CDLA-Permissive-2.0","Community Data License Agreement Permissive 2.0","https://cdla.dev/permissive-2-0"
"CDLA-Sharing-1.0","Community Data License Agreement Sharing 1.0","https://cdla.io/sharing-1-0"
"CECILL-1.0","CeCILL Free Software License Agreement v1.0","http://www.cecill.info/licences/Licence_CeCILL_V1-fr.html"
"CECILL-1.1","CeCILL Free Software License Agreement v1.1","http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.html"
"CECILL-2.0","CeCILL Free Software License Agreement v2.0","http://www.cecill.info/licences/Licence_CeCILL_V2-en.html"
"CECILL-2.1","CeCILL Free Software License Agreement v2.1","http://www.cecill.info/licences/Licence_CeCILL_V2.1-en.html"
"CECILL-B","CeCILL-B Free Software License Agreement","http://www.cecill.info/licences/Licence_CeCILL-B_V1-en.html"
"CECILL-C","CeCILL-C Free Software License Agreement","http://www.cecill.info/licences/Licence_CeCILL-C_V1-en.html"
"CERN-OHL-1.1","CERN Open Hardware Licence v1.1","https://www.ohwr.org/project/licenses/wikis/cern-ohl-v1.1"
"CERN-OHL-1.2","CERN Open Hardware Licence v1.2","https://www.ohwr.org/project/licenses/wikis/cern-ohl-v1.2"
"CERN-OHL-P-2.0","CERN Open Hardware Licence Version 2 - Permissive","https://www.ohwr.org/project/cernohl/wikis/Documents/CERN-OHL-version-2"
"CERN-OHL-S-2.0","CERN Open Hardware Licence Version 2 - Strongly Reciprocal","https://www.ohwr.org/project/cernohl/wikis/Documents/CERN-OHL-version-2"
"CERN-OHL-W-2.0","CERN Open Hardware Licence Version 2 - Weakly Reciprocal","https://www.ohwr.org/project/cernohl/wikis/Documents/CERN-OHL-version-2"
"ClArtistic","Clarified Artistic License","http://www.ncftp.com/ncftp/doc/LICENSE.txt"
"CNRI-Jython","CNRI Jython License","http://www.jython.org/license.html"
"CNRI-Python-GPL-Compatible","CNRI Python Open Source GPL Compatible License Agreement","http://www.python.org/download/releases/1.6.1/download_win/"
"Condor-1.1","Condor Public License v1.1","http://web.archive.org/web/20111123062036/http://research.cs.wisc.edu/condor/license.html#condor"
"copyleft-next-0.3.0","copyleft-next 0.3.0","https://github.com/copyleft-next/copyleft-next/blob/master/Releases/copyleft-next-0.3.0"
"copyleft-next-0.3.1","copyleft-next 0.3.1","https://github.com/copyleft-next/copyleft-next/blob/master/Releases/copyleft-next-0.3.1"
"CPAL-1.0","Common Public Attribution License 1.0","https://opensource.org/licenses/CPAL-1.0"
"CPL-1.0","Common Public License 1.0","https://opensource.org/licenses/CPL-1.0"
"CPOL-1.02","Code Project Open License 1.02","http://www.codeproject.com/info/cpol10.aspx"
"Crossword","Crossword License","https://fedoraproject.org/wiki/Licensing/Crossword"
"CrystalStacker","CrystalStacker License","https://fedoraproject.org/wiki/Licensing:CrystalStacker?rd=Licensing/CrystalStacker"
"CUA-OPL-1.0","CUA Office Public License v1.0","https://opensource.org/licenses/CUA-OPL-1.0"
"Cube","Cube License","https://fedoraproject.org/wiki/Licensing/Cube"
"C-UDA-1.0","Computational Use of Data Agreement v1.0","https://cdla.dev/computational-use-of-data-agreement-v1-0/"
"curl","curl License","https://github.com/bagder/curl/blob/master/COPYING"
"D-FSL-1.0","Deutsche Freie Software Lizenz","https://www.hbz-nrw.de/produkte/open-access/lizenzen/dfsl/D-FSL-1_0_en.txt/at_download/file"
"diffmark","diffmark license","https://fedoraproject.org/wiki/Licensing/diffmark"
"dli-model-use","Statistics Canada: Data Liberation Initiative (DLI) - Model Data Use Licence","http://data.library.ubc.ca/datalib/geographic/DMTI/license.html"
"DOC","DOC License","https://www.dre.vanderbilt.edu/~schmidt/ACE-copying.html"
"Dotseqn","Dotseqn License","https://fedoraproject.org/wiki/Licensing/Dotseqn"
"DRL-1.0","Detection Rule License 1.0","https://github.com/Neo23x0/sigma/blob/master/LICENSE.Detection.Rules.md"
